question,response
在Long Horizon Multistage的Robotics Task上， 提出了什么方法？,提出了方法叫Latent Backward Planning。
这种方法的主要的适用场景是什么？,主要适用场景是Long Horizon Multistage的Robotics Tasks。
传统Long Horizon的Robotics Planning有什么挑战？,传统的Robotics Planning时间较长，如果哪一步做错了，误差会随着时间维度进行一个积累。
现有的很多工作会如何改善上述问题？,很多工作会逐渐的把模型往大了搞，比如进一些LLM做上层的Task Planning，然后进一些非常重的image generation的方式去做Sub Goal Generation，
对于长时序，多阶段的这样的一个决策任务，大家有没有什么提升的空间？,目前，大家还是有很多可以提升的空间。
在审视这类方法时，可以从什么角度出发？,可以从范式的角度去审视。
对于Parallel Planning来说，有什么问题？,Parallel Planning是不高效的。
对于Forward Fine Grain Planning来说，有什么问题？,Forward Fine Grain Planning是不准确的。
对于Forward Course Grain Planning来说，有什么问题？,Forward Course Grain Planning是Long Horizon的 Guidance是不充分的。
Latent space Backward Planning方法，第一步是什么？,把Image observation和Language instruction都映射到Latent space里面。
Latent space Backward Planning方法，第二步是什么？,将Language映射到Image space上面，这里面具体实现方式是用一个MLP，然后去把current的current latent space和language embedding输入进去去预测一个Latent Goal。
利用这种方式，可以达到什么效果？,可以把非常high level这种language层面的planning，给它压回到latent的image层面上，这样可以带来更丰富的信息。
在Latent space Backward Planning方法中，去通过Final Goal去 recursively predict中间的Sub Goal，用什么样的方式？,用一个backward manner。
在预测sub goal的时候，用什么方式？,是用刚预测的final goal，然后先预测W1，再去预测W2，再去预测WN。
Lambda recursion可以达到什么效果？,可以很好的把我这个planning的complexity降下来。
使用Lambda recursion还有什么好处？,因为每次都是用相同的比例去回复，这样就可以用一个model，a single unified model 去预测每一个level。
这里面第一项的loss是什么？,是用上一级的Sub Goal Ground Truth去预测下一次。
第二项的loss是什么？,是用上一级的预测的结果，去预测下一级，这样的话，可以在training的时候，就得到一个inference time的这样一个planning capability。
最后，Latent space Backward Planning方法怎么做？,把刚预测的sub goal和goal 进行一个aggration，用一个非常简单的goal fusion model，用一个learnable token去cross the time的一个learnable token，把它集成到一个相对来说low level一点的这样space，然后我们再用这个goal fusion，经过goal fusion model处理之后的这样一些sub goal和goal的信息，然后condition的policy上面去得到一个策略，策略的网络。
Latent space Backward Planning 的核心是什么？,"采用了一种backward recursive planning 的模式，先去做final goal prediction，然后再去反过来预测，这样的话，可以保证始终是ontask prediction, 它很好的减少了这中间的一些component error."
